0;89;98;57;49;21;73;57;46;20;26;89;62;87;71;99;46;13;36;10
94;0;51;69;15;64;42;46;52;36;54;17;88;35;73;11;47;45;91;88
73;91;0;19;80;37;55;40;49;86;75;10;95;59;23;42;27;62;80;61
23;77;20;0;15;77;58;61;10;16;71;62;65;59;77;47;78;59;91;43
57;44;89;50;0;12;62;42;44;33;20;16;28;20;33;29;86;87;11;61
59;71;28;18;91;0;54;41;97;75;91;60;99;52;18;62;24;22;77;66
65;97;72;30;95;47;0;24;24;76;10;61;58;56;85;60;45;78;12;62
74;62;47;10;28;13;79;0;14;40;35;66;57;99;77;95;57;45;93;84
74;53;25;73;87;45;36;22;0;26;25;67;15;50;56;87;67;94;27;80
82;12;25;96;85;38;64;62;40;0;71;56;21;60;85;22;90;91;60;16
69;87;96;83;75;88;95;72;25;68;0;87;17;63;79;43;60;63;16;78
18;75;30;38;82;37;85;49;33;43;60;0;54;75;95;51;32;30;50;33
79;87;64;39;46;11;37;40;80;11;73;17;0;97;12;24;39;65;83;13
82;87;67;77;38;51;83;43;41;45;12;75;56;0;75;72;35;43;44;25
62;88;87;78;68;27;16;17;63;43;45;81;20;27;0;55;11;24;94;25
51;59;30;58;43;47;41;37;37;13;93;17;14;12;79;0;53;55;12;56
63;34;17;56;25;33;91;53;87;13;20;76;52;89;97;29;0;81;51;20
52;77;16;26;94;41;46;71;37;63;57;56;51;66;35;18;14;0;47;92
49;44;64;21;36;47;17;51;15;65;24;85;16;17;79;90;49;83;0;27
65;90;38;52;77;15;66;99;36;50;81;46;41;34;29;88;56;32;51;0
