0;25;74;81;62;46;75;28;76;25;95;69;32;33;60;34;11;84;60;63;47;29;64;29;81
95;0;97;90;86;50;17;68;27;45;76;83;31;48;90;36;89;31;81;93;55;98;30;53;71
38;21;0;13;85;13;88;50;84;29;77;65;81;68;81;13;92;39;90;96;81;36;80;63;95
61;56;65;0;69;39;69;67;15;65;47;20;86;68;42;29;57;93;56;19;61;75;74;80;85
89;82;82;90;0;26;76;39;90;53;47;94;49;55;26;13;37;40;37;12;28;16;48;51;69
77;77;17;39;31;0;72;36;18;54;85;97;56;59;79;95;63;40;90;72;13;18;17;10;74
79;21;57;77;41;87;0;68;72;67;97;40;74;47;48;73;93;31;75;47;15;28;69;22;36
92;27;44;10;63;48;57;0;32;65;39;11;71;17;46;34;87;31;83;22;84;33;88;24;84
10;14;82;89;83;31;27;31;0;88;71;42;18;29;38;19;39;18;69;58;13;34;47;43;48
17;79;15;18;27;16;65;23;69;0;87;53;31;71;44;37;44;11;62;12;13;34;86;49;16
54;32;60;74;75;47;98;43;57;52;0;90;46;43;37;62;15;90;74;66;51;26;94;20;13
36;46;41;33;10;61;39;23;22;82;65;0;62;91;52;53;43;77;47;52;52;33;22;90;50
48;55;76;12;33;36;48;25;64;79;65;99;0;18;24;55;10;99;27;90;45;46;69;34;64
95;20;61;58;83;82;75;52;54;62;13;73;89;0;31;64;24;22;76;13;77;71;25;34;49
83;48;91;27;94;35;24;84;37;47;63;42;36;52;0;21;15;88;70;86;15;33;97;87;38
35;69;81;39;42;50;95;18;18;57;17;35;79;45;46;0;57;35;46;60;91;65;52;75;25
66;28;83;41;14;91;94;77;66;88;49;40;37;40;69;23;0;99;16;85;40;99;60;25;17
96;15;57;55;57;72;18;25;45;31;95;61;44;46;21;39;20;0;68;49;39;94;84;42;25
86;94;97;34;80;90;22;64;20;87;58;53;94;41;51;24;18;57;0;95;96;27;78;87;88
69;99;36;46;68;29;79;72;54;23;28;35;97;13;76;64;85;41;70;0;64;10;91;99;68
43;98;21;23;27;12;52;63;24;92;14;25;22;60;85;45;41;63;73;36;0;84;50;70;60
18;17;99;19;30;50;36;16;42;26;46;32;15;85;16;90;12;33;92;68;16;0;15;55;65
51;53;86;85;54;14;55;18;83;25;26;15;68;66;56;19;14;88;57;26;39;51;0;38;95
36;56;83;58;90;43;67;29;17;95;69;39;30;76;62;18;68;79;25;40;79;26;62;0;51
65;91;14;51;42;83;44;90;67;71;37;94;82;41;90;83;99;77;14;27;22;59;55;69;0
