0;45;81;11;52;86;33;72;80;44;21;88;74;31;88
14;0;39;99;63;99;97;38;73;70;75;30;27;54;24
67;78;0;22;91;33;30;64;45;10;87;44;88;76;99
55;73;49;0;12;78;42;19;32;88;55;47;77;80;15
94;32;44;50;0;65;66;41;88;28;10;34;72;67;27
19;25;73;50;82;0;37;44;24;84;79;93;19;46;74
72;65;89;25;78;80;0;17;67;17;18;19;79;17;34
87;93;84;30;26;92;56;0;90;66;11;10;44;68;75
15;74;80;56;80;23;93;24;0;49;31;97;66;47;83
90;94;74;22;28;44;55;64;17;0;82;45;14;62;91
74;86;44;23;17;18;97;73;31;36;0;44;49;72;50
49;27;76;77;62;90;32;28;77;43;68;0;27;65;39
26;75;39;87;54;89;90;10;26;44;94;22;0;95;46
71;91;75;86;73;82;45;80;41;15;55;77;51;0;28
15;58;78;60;84;21;80;62;38;19;98;15;59;87;0
