0;55;39;25;71;27;46;63;27;35;31;52;18;58;74;15;66;94;39;28;14;32;75;40;83;58;45;43;51;29
17;0;88;61;97;33;24;60;19;58;51;79;54;95;36;37;33;91;34;90;37;21;15;44;23;12;89;81;16;98
81;87;0;87;55;30;14;78;29;17;86;84;15;35;20;43;33;16;41;47;79;86;20;70;32;95;12;43;49;65
36;90;53;0;28;24;92;60;89;52;25;54;82;70;56;92;47;65;43;58;63;83;89;65;18;50;36;12;88;20
44;21;43;42;0;69;26;80;63;75;15;26;28;92;30;39;51;40;83;72;73;13;20;25;19;28;50;15;60;74
75;63;48;69;41;0;58;48;58;50;55;98;40;30;42;74;52;22;61;21;62;63;61;76;76;19;81;73;94;13
93;91;13;97;78;55;0;88;30;81;54;36;37;60;75;57;23;73;80;52;13;44;69;89;59;92;54;33;41;47
72;48;30;26;11;22;18;0;69;95;32;87;97;10;20;71;97;73;92;41;66;59;13;23;26;20;45;14;18;50
67;82;43;83;51;72;21;86;0;61;71;49;82;88;82;44;40;98;96;18;38;77;93;36;80;53;73;27;46;69
87;95;71;89;20;94;28;37;99;0;73;22;74;82;53;53;36;56;82;22;21;39;23;24;71;31;35;12;95;66
29;94;35;87;28;92;28;27;39;29;0;19;69;22;72;67;85;33;58;87;38;97;81;10;62;78;91;86;88;71
80;53;40;30;13;15;47;90;30;23;42;0;18;44;31;86;71;79;42;54;53;40;24;53;90;65;46;42;13;44
47;11;91;34;23;49;26;12;75;65;15;29;0;95;25;31;81;69;37;97;16;68;33;51;43;11;78;47;90;85
90;31;93;71;63;46;97;70;33;43;99;87;85;0;88;53;39;58;41;30;90;14;82;77;70;32;76;89;22;89
11;73;97;97;98;36;60;57;16;42;30;68;41;20;0;99;11;93;51;98;76;50;83;90;76;74;67;77;17;31
96;23;33;81;83;73;60;20;70;64;70;48;11;59;37;0;56;14;81;18;84;25;19;66;51;13;84;11;38;43
41;17;98;64;50;23;35;12;97;23;72;27;79;47;77;65;0;98;50;58;69;93;82;98;99;54;14;24;78;46
30;99;89;73;88;45;16;16;60;45;79;21;15;60;79;15;60;0;11;59;38;43;76;35;51;62;58;49;94;33
59;47;36;44;29;93;37;42;95;43;62;31;78;45;61;34;72;87;0;18;26;92;53;84;66;94;24;86;73;39
56;92;85;69;30;18;43;71;68;62;14;89;71;70;62;39;68;27;86;0;83;37;56;80;57;44;87;88;84;94
79;32;75;25;11;94;49;65;58;94;88;72;86;60;23;43;27;30;54;75;0;90;33;78;45;35;60;57;91;31
63;13;75;26;54;50;47;45;97;27;40;77;88;62;71;10;25;91;90;86;54;0;78;19;52;10;39;12;55;70
98;18;23;76;80;99;20;26;81;52;49;70;49;39;21;30;93;82;11;35;33;93;0;33;23;33;47;61;19;14
50;92;65;83;50;51;72;15;31;21;54;39;93;27;49;82;71;83;39;62;22;54;34;0;30;20;67;84;66;36
90;76;54;65;58;55;73;54;10;82;94;54;94;79;49;91;20;16;28;39;11;91;96;69;0;28;18;89;71;16
71;48;68;27;95;28;35;92;21;22;66;33;61;60;57;95;34;33;22;43;61;17;35;87;51;0;43;86;36;58
52;54;54;19;57;19;27;88;18;33;64;40;74;99;51;91;31;89;95;17;25;53;23;64;90;13;0;27;39;29
13;97;52;55;28;62;25;48;58;34;40;42;21;63;30;24;72;14;99;63;28;58;81;57;35;77;41;0;56;67
26;95;63;83;40;91;67;36;22;10;29;42;47;25;39;61;73;68;27;53;15;79;13;20;72;38;98;30;0;13
89;85;29;80;41;32;45;64;53;36;23;35;51;40;58;56;91;83;10;57;83;29;77;61;85;36;61;33;87;0
